Year,Team,Players,Position,BaseSalary,BaseNum,GK_Score,D_tackles_won_pct,D_interceptions,D_clearances,D_pressure_regain_pct,M_passes,M_passes_pct,F_goals,F_shots_on_target_pct
2019,leeds United Fc,Laurens De Bock,D,0,0,0,0,0,0,0,0,0,0,0
2019,leeds United Fc,Robbie Gotts,M,0,0,0,0,0,0,0,0,0,0,0
2019,leeds United Fc,Bryce Hosannah,D,0,0,0,0,0,0,0,0,0,0,0
2019,leeds United Fc,Alfie McCalmont,M,0,0,0,0,0,0,0,0,0,0,0
2019,leeds United Fc,Liam McCarron,M,0,0,0,0,0,0,0,0,0,0,0
2019,leeds United Fc,Kamil Miazek,GK,0,0,0,0,0,0,0,0,0,0,0
2019,leeds United Fc,Rafa Mújica,F,0,0,0,0,0,0,0,0,0,0,0
2019,leeds United Fc,Jordan Stevens,M,0,0,0,0,0,0,0,0,0,0,0
2019,leeds United Fc,Kun Temenuzhkov,F,0,0,0,0,0,0,0,0,0,0,0
2019,leicester City,Kasper Schmeichel,GK,6760000,6.76,0.973431734,0,0,0,0,0,0,0,0
2019,leicester City,Jamie Vardy,F,7280000,7.28,,0.647058824,2,23,29.4,462,68,23,43.7
2019,leicester City,Dennis Praet,M,4500000,4.5,,0.6,13,13,25,539,82.7,1,18.8
2019,leicester City,Jonny Evans,D,4160000,4.16,,0.645833333,39,271,39.9,2372,88,1,41.7
2019,leicester City,Adrien Silva,M,4160000,4.16,,0,0,0,0,0,0,0,0
2019,leicester City,Onyinye Ndidi,M,3900000,3.9,,0.608,49,83,32.7,1648,85.9,2,7.4
2019,leicester City,Ricardo Pereira,D,3640000,3.64,,0.557377049,41,97,31.3,1875,80.7,3,29.4
2019,leicester City,Ben Chilwell,D,3380000,3.38,,0.509803922,20,89,27.9,1955,78.1,3,40
2019,leicester City,Kelechi Iheanacho,F,3120000,3.12,,0,0,0,0,268,81,5,52.9
2019,leicester City,Wes Morgan,D,3120000,3.12,,0,0,0,0,238,92.4,0,0
2019,leicester City,Demarai Gray,F,2860000,2.86,,0,0,0,0,327,82.9,2,28.6
2019,leicester City,Vicente Iborra,M,2860000,2.86,,0,0,0,0,0,0,0,0
2019,leicester City,James Maddison,M,2860000,2.86,,0.696428571,12,8,31.5,1674,76.6,6,24.3
2019,leicester City,Christian Fuchs,D,2600000,2.6,,0.6,14,39,31.3,630,81,0,0
2019,leicester City,Nampalys Mendy,M,2600000,2.6,,0,0,0,0,212,91.5,0,0
2019,leicester City,Marc Albrighton,M,2340000,2.34,,0.47826087,9,7,34,507,67.9,0,20
2019,leicester City,Ayoze Perez,F,2340000,2.34,,0.666666667,17,12,30.3,773,79.7,8,43.5
2019,leicester City,Caglar Soyuncu,D,2340000,2.34,,0.643835616,26,222,39.9,2238,90.9,1,35
2019,leicester City,Youri Tielemans,M,1718000,1.718,,0.701754386,18,24,27.5,1804,80.7,3,24.1
2019,leicester City,Matty James,M,1664000,1.664,,0,0,0,0,0,0,0,0
2019,leicester City,Bartosz Kapustka,M,1560000,1.56,,0,0,0,0,0,0,0,0
2019,leicester City,Eldin Jakupovic,GK,1196000,1.196,,0,0,0,0,0,0,0,0
